Question,A,B,C,D,Answer,Qtype
"
 T O Q R P S","
 T Q O P S R","
 T Q O S P R","
"," A binary search tree contains values 7, 8, 13, 26, 35, 40, 70, 7 Which one of the following is a valid post-order sequence of the tree provided the pre-order sequence as 35, 13, 7, 8, 26, 70, 40 and 75?",  c,DS
"
 26, 13, 7, 8, 70, 75, 40, 35","
 7, 8, 13, 26, 35, 40, 70, 75","
 8, 7, 26, 13, 40, 75, 70, 35","
", Which of the following pair’s traversals on a binary tree can build the tree uniquely?, d,DS
"
 post-order and in-order","
 post-order and level order","
 level order and preorder","
", A full binary tree can be generated using ______, b,DS
"
 pre-order traversal","
 post-order traversal","
 in-order traversal","
", The maximum number of nodes in a tree for which post-order and pre-order traversals may be equal is ______, a,DS
"
 1","
 2","
 any number","
"," The steps for finding post-order traversal are traverse the right subtree, traverse the left subtree or visit the current node.", b,DS
"
 False","
", The pre-order and in-order are traversals of a binary tree are T M L N P O Q and L M N T O P Q. Which of following is post-order traversal of the tree?,"
 L N M O Q P T","
 N M O P O L T", b,DS
"
 O P L M N Q T","
", For a binary tree the first node visited in in-order and post-order traversal is same.,"
 True","
 False", a,DS
1 Find the postorder traversal of the binary tree shown below.,"
","
 P Q R S T U V W X","
 W R S Q P V T U X","
 S W T Q X U V R P", b,DS
" For the tree below, write the in-order traversal.","
","
 6, 2, 5, 7, 11, 2, 5, 9, 4","
 6, 5, 2, 11, 7, 4, 9, 5, 2","
 2, 7, 2, 6, 5, 11, 5, 9, 4", a,DS
"
"," For the tree below, write the level-order traversal.","
","
 2, 7, 2, 6, 5, 11, 5, 9, 4","
 2, 7, 5, 2, 11, 9, 6, 5, 4", b,DS
"
 2, 7, 5, 6, 11, 2, 5, 4, 9","
", Select the code snippet which performs in-order traversal.,"
",, b,DS
, Select the code snippet which performs level-order traversal.,"
",,, a,DS
 What is the space complexity of the in-order traversal in the recursive fashion? (d is the tree depth and n is the number of nodes),"
 O(1)","
 O(nlog","
 O(log","
 O(", d,DS
 What is the time complexity of level order traversal?,"
 O(1)","
 O(n)","
 O(logn)","
 O(nlogn)", b,DS
 Which of the following graph traversals closely imitates level order traversal of a binary tree?,"
 Depth First Search","
 Breadth First Search","
 Depth & Breadth First Search","
 Binary Search", b,DS
" In a binary search tree, which of the following traversals would print the numbers in the ascending order?","
 Level-order traversal","
 Pre-order traversal","
 Post-order traversal","
 In-order traversal", d,DS
 The number of edges from the root to the node is called __________ of the tree.,"
 Height","
 Depth","
 Length","
 Width", b,DS
 The number of edges from the node to the deepest leaf is called _________ of the tree.,"
 Height","
 Depth","
 Length","
 Width", a,DS
 What is a full binary tree?,"
 Each node has exactly zero or two children","
 Each node has exactly two children","
 All the leaves are at the same level","
 Each node has exactly one or two children", a,DS
 What is a complete binary tree?,"
 Each node has exactly zero or two children","
 A binary tree, which is completely filled, with the possible exception of the bottom level, which is filled from right to left","
 A binary tree, which is completely filled, with the possible exception of the bottom level, which is filled from left to right","
 A tree In which all nodes have degree 2", c,DS
 What is the average case time complexity for finding the height of the binary tree?,"
 h = O(loglogn)","
 h = O(nlogn)","
 h = O(n)","
 h = O(log n)", d,DS
 Which of the following is not an advantage of trees?,"
 Hierarchical structure","
 Faster search","
 Router algorithms","
 Undo/Redo operations in a notepad", d,DS
" In a full binary tree if number of internal nodes is I, then number of leaves L are?","
 L = 2*I","
 L = I + 1","
 L = I – 1","
 L = 2*I – 1", b,DS
" In a full binary tree if number of internal nodes is I, then number of nodes N are?","
 N = 2*I","
 N = I + 1","
 N = I – 1","
 N = 2*I + 1", d,DS
" In a full binary tree if there are L leaves, then total number of nodes N are?","
 N = 2*L","
 N = L + 1","
 N = L – 1","
 N = 2*L – 1", d,DS
 Which of the following is incorrect with respect to binary trees?,"
 Let T be a binary tree. For every k ≥ 0, there are no more than 2k nodes in level k","
 Let T be a binary tree with λ levels. Then T has no more than 2", nodes,"
 Let T be a binary tree with N nodes. Then the number of levels is at least ceil(log (N + 1))", d,DS
"
",1 Construct a binary tree by using postorder and inorder sequences given below.,"
Inorder: N, M, P, O, Q","
Postorder: N, P, Q, O, M","
 ", d,DS
"
 ","
 ","
",1 Construct a binary search tree by using postorder sequence given below.,"
Postorder: 2, 4, 3, 7, 9, 8, ", b,DS
"
 ","
  ","
 ","
",1 Construct a binary tree using inorder and level order traversal given below., a,DS
 Which of the following is false about a binary search tree?,"
 The left child is always lesser than its parent","
 The right child is always greater than its parent","
 The left and right sub-trees should also be binary search trees","
 In order sequence gives decreasing order of elements", d,DS
 How to search for a key in a binary search tree?,"
",,,, a,DS
"
 It traverses in a non increasing order","
 It traverses in an increasing order","
 It traverses in a random fashion","
 It traverses based on priority of the node","
", b,DS
 Preorder traversal,"
 Inorder traversal","
 Postorder traversal","
 Level order traversal","
", c,DS
 Preorder traversal,"
 Inorder traversal","
 Postorder traversal","
 Level order traversal","
", a,DS
"
",,,, How will you find the maximum element in a binary search tree?, a,DS
,,, What are the worst case and average case complexities of a binary search tree?,"
 O(n), O(n)", c,DS
"
 O(logn), O(n)","
 O(n), O(logn)","
"," Given that 2 elements are present in the tree, write a function to find the LCA(Least Common Ancestor) of the 2 elements.","
", d,DS
,, What are the conditions for an optimal binary search tree and what is its advantage?,"
 The tree should not be modified and you should know how often the keys are accessed, it improves the lookup cost","
 You should know the frequency of access of the keys, improves the lookup time", c,DS
"
 The tree should be just modified and improves the lookup time","
",1 Construct a binary search tree with the below information.,"
The preorder traversal of a binary search tree 10, 4, 3, 5, 11, 1","
 ", a,DS
 What will be the height of a balanced full binary tree with 8 leaves?,"
 8","
 5","
 6","
 4", d,DS
 The balance factor of a node in a binary tree is defined as _____,"
 addition of heights of left and right subtrees","
 height of right subtree minus height of left subtree","
 height of left subtree minus height of right subtree","
 height of right subtree minus one", c,DS
" Figure below is a balanced binary tree. If a node inserted as child of the node R, how many nodes will become unbalanced?","
","
 2","
 1","
 3", b,DS
"
", A binary tree is balanced if the difference between left and right subtree of every node is not more than ____,"
 1","
 3","
 2", a,DS
"
", Which of the following tree data structures is not a balanced binary tree?,"
 AVL tree","
 Red-black tree","
 Splay tree", d,DS
"
", Which of following figures is a balanced binary tree?,"
","
 ","
	", b,DS
"
", Balanced binary tree with n items allows the lookup of an item in ____ worst-case time.,"
 O(log n)","
 O(nlog 2)","
 O(n)", a,DS
"
", Which of the following data structures can be efficiently implemented using height balanced binary search tree?,"
 sets","
 priority queue","
 heap", d,DS
"
", Two balanced binary trees are given with m and n elements respectively. They can be merged into a balanced binary search tree in ____ time.,"
 O(m+n)","
 O(mn)","
 O(m)", a,DS
"
"," Which of the following is an advantage of balanced binary search tree, like AVL tree, compared to binary heap?","
 insertion takes less time","
 deletion takes less time","
 searching takes less time", a,DS
"
",1 AVL trees are more balanced than Red-black trees.,"
 True","
 False","
", a,DS
"
","
 U","
 M","
 H","
 A", a,DS
 Which of the following is not the self balancing binary search tree?,"
 AVL Tree","
 2-3-4 Tree","
 Red – Black Tree","
 Splay Tree", b,DS
 The binary tree sort implemented using a self – balancing binary search tree takes ______ time is worst case.,"
 O(n log n)","
 O(n)","
 O(n",), a,DS
"
","  An AVL tree is a self – balancing binary search tree, in which the heights of the two child sub trees of any node differ by _________","
 At least one","
 At most one","
 Two", b,DS
"
", Associative arrays can be implemented using __________,"
 B-tree","
 A doubly linked list","
 A single linked list", d,DS
"
", Self – balancing binary search trees have a much better average-case time complexity than hash tables.,"
 True","
 False","
", b,DS
"
 2-3 tree","
 Threaded binary tree","
 AA tree","
 Treap","
", c,DS
"
 Priority queue","
 Hash table","
 Heap sort","
 Priority queue and Heap sort","
", a,DS
"
 AVL tree","
 AA tree","
 Splay tree","
 Red – Black tree","
", c,DS
"
 log",(n),"
 n","
 2n + 1","
 2n – 1", a,DS
 Which of the following is not a random tree?,"
 Treap","
 Random Binary Tree","
 Uniform Spanning Tree","
 AVL Tree", d,DS
 Which process forms the randomized binary search tree?,"
 Stochastic Process","
 Branching Process","
 Diffusion Process","
 Aggregation Process", a,DS
" How many randomized binary search trees can be formed by the numbers (1, 3, 2)?","
 2","
 3","
 6","
 5", d,DS
 What is the expected depth of a node in a randomized binary search tree?,"
 log n","
 n!","
 n","
 2 log n + O(1)", d,DS
 What is the longest length path for a node x in random binary search tree for the insertion process?,"
 log x","
 x","
 x!","
 311 log x", d,DS
 What is the range of β in finding the length of the longest path in a randomized binary search tree?,"
 (-1, 0)","
 (1, 0)","
 (0, 5)","
 (0, 1)", d,DS
 What is the expected number of leaves in a randomized binary search tree?,"
 n + 1","
 (n + 1)/3","
 (n + 1)/2","
 n + 3", b,DS
